date,MSCI_EMI
2018-11-01,13986.6979830673
2018-11-02,14242.8685671622
2018-11-05,14036.8635045943
2018-11-06,13992.9347004788
2018-11-07,13869.151073622
2018-11-08,14032.1958925327
2018-11-09,13969.9340878686
2018-11-12,13993.648932568
2018-11-13,13950.9847824984
2018-11-14,13926.5114015198
2018-11-15,13935.7816439763
2018-11-16,13825.7232053528
2018-11-19,13851.7370667054
2018-11-20,13705.541079836
2018-11-21,13569.5336568996
2018-11-22,13416.2734231802
2018-11-23,13421.8387207005
2018-11-26,13569.5846862884
2018-11-27,13640.0481946238
2018-11-28,13649.4636670745
2018-11-29,13631.4944828438
2018-11-30,13785.9877919968
2018-12-03,13908.2384265425
2018-12-04,14047.3735246
2018-12-05,13866.39755792
2018-12-06,13741.2064980117
2018-12-07,13892.7229151298
2018-12-10,13839.9027944641
2018-12-11,13823.3305715201
2018-12-12,13797.7378042207
2018-12-13,13963.6911241901
2018-12-14,13982.3004727938
2018-12-17,13919.4043404703
2018-12-18,13809.200321238
2018-12-19,13909.1514947671
2018-12-20,13813.7110845285
2018-12-21,13998.3425239264
2018-12-24,13885.1366519945
2018-12-25,13879.8565765512
2018-12-26,13820.8111141056
2018-12-27,13788.6412353861
2018-12-28,13880.3947024973
2018-12-31,13856.2817020992
2019-01-01,13891.681060992
2019-01-02,13817.5504457335
2019-01-03,13569.5864941007
2019-01-04,13465.9108105961
2019-01-07,13557.6224561373
2019-01-08,13617.7046595888
2019-01-09,13765.9934674387
2019-01-10,13830.0310806364
2019-01-11,13838.2416773146
2019-01-14,13667.0698955905
2019-01-15,13801.18655574
2019-01-16,13811.3990694064
2019-01-17,13841.7868013685
2019-01-18,14087.01093536
2019-01-21,14076.802672958
2019-01-22,14111.5740406765
2019-01-23,13971.9865003263
2019-01-24,13978.9407124692
2019-01-25,14047.9332414664
2019-01-28,14042.302532271
2019-01-29,13987.320167304
2019-01-30,13806.311726144
2019-01-31,13909.1131222326
2019-02-01,13976.3790821106
2019-02-04,14058.481451676
2019-02-05,14062.275740024
2019-02-06,14194.4569600632
2019-02-07,14184.52660519
2019-02-08,14108.82221049
2019-02-11,14292.22837742
2019-02-12,14341.7448716949
2019-02-13,14647.293161105
2019-02-14,14684.858694766
2019-02-15,14506.5200678956
2019-02-18,14627.345867012
2019-02-19,14552.353382281
2019-02-20,14708.0942227968
2019-02-21,14729.4597936708
2019-02-22,14810.8852234707
2019-02-25,14760.1816941273
2019-02-26,14730.560847651
2019-02-27,14784.7685649145
2019-02-28,14797.0717253254
2019-03-01,14954.5998800744
2019-03-04,14970.9338409901
2019-03-05,14940.6703771972
2019-03-06,15056.9492666652
2019-03-07,15131.647695
2019-03-08,14862.674909756
2019-03-11,14919.66724785
2019-03-12,15078.5906832216
2019-03-13,15141.5603947676
2019-03-14,15235.1398281026
2019-03-15,15235.2016920384
2019-03-18,15450.3994098432
2019-03-19,15528.716913
2019-03-20,15229.418672464
2019-03-21,15189.5159808
2019-03-22,15349.743887404
2019-03-25,14986.987406601
2019-03-26,15129.0496672
2019-03-27,15232.5762357404
