date,MSCI_IMI
2013-12-16,11940.019525
2013-12-17,11904.08238
2013-12-18,12098.36035
2013-12-19,12154.70262
2013-12-20,12237.633
2013-12-23,12256.30045
2013-12-24,12257.2552
2013-12-25,12254.39757
2013-12-26,12339.1914
2013-12-27,12640.9025
2013-12-30,12493.01031
2013-12-31,12621.12517
2014-01-01,12630.99915
2014-01-02,12729.32336
2014-01-03,12762.427608
2014-01-06,12663.078
2014-01-07,12709.58412
2014-01-08,12881.38871
2014-01-09,12886.42208
2014-01-10,12830.42122
2014-01-13,12913.3519
2014-01-14,12981.94972
2014-01-15,13148.735886
2014-01-16,13104.40824
2014-01-17,13119.43634
2014-01-20,13049.39532
2014-01-21,13037.15244
2014-01-22,13117.735
2014-01-23,13226.3604
2014-01-24,13060.75586
2014-01-27,12940.69106
2014-01-28,12891.92598
2014-01-29,13177.58796
2014-01-30,13087.2204
2014-01-31,12957.09324
2014-02-03,12868.3447
2014-02-04,12646.35393
2014-02-05,12704.7402
2014-02-06,12804.99987
2014-02-07,12989.43189
2014-02-10,13124.62039
2014-02-11,13003.45704
2014-02-12,13118.7264
2014-02-13,13142.523268
2014-02-14,13025.609695
2014-02-17,13000.4685
2014-02-18,13176.0705
2014-02-19,13330.9421
2014-02-20,13249.53311
2014-02-21,13252.35681
2014-02-24,13094.67976
2014-02-25,13024.81084
2014-02-26,13109.59952
2014-02-27,12996.29216
2014-02-28,13178.43354
2014-03-03,13133.63832
2014-03-04,13145.84705
2014-03-05,13102.3126
2014-03-06,13022.67726
2014-03-07,13189.36256
2014-03-10,13187.691412
2014-03-11,13222.9429
2014-03-12,13169.958585
2014-03-13,13012.63533
2014-03-14,12780.80768
2014-03-17,12997.01598
2014-03-18,13040.90606
2014-03-19,13206.31908
2014-03-20,13139.0358
2014-03-21,13137.2175
2014-03-24,12993.3496
2014-03-25,12952.14592
2014-03-26,12949.77376
2014-03-27,12795.085008
2014-03-28,12848.99562
2014-03-31,12899.7432
2014-04-01,13030.3225
2014-04-02,13047.17032
2014-04-03,13072.78903
2014-04-04,12897.4516
2014-04-07,12724.23054
2014-04-08,12680.4708
2014-04-09,12667.8084
2014-04-10,12634.20072
2014-04-11,12516.87537
2014-04-14,12575.717705
2014-04-15,12712.4448
2014-04-16,12802.49388
2014-04-17,12746.5612
2014-04-18,12773.70276
2014-04-21,12798.350754
2014-04-22,12934.04166
2014-04-23,13023.96744
2014-04-24,12981.9504
2014-04-25,13031.660706
2014-04-28,12989.9125
2014-04-29,12933.42607
2014-04-30,12923.15835
2014-05-01,12899.31344
2014-05-02,12890.3327
2014-05-05,12977.98912
2014-05-06,12927.5311
2014-05-07,12814.31137
2014-05-08,12685.41522
2014-05-09,12686.90304
2014-05-12,12791.91876
2014-05-13,12746.60232
2014-05-14,12697.50867
2014-05-15,12744.359217
2014-05-16,12689.9892
2014-05-19,12712.14784
2014-05-20,12767.872
2014-05-21,12792.813784
2014-05-22,12789.2058
2014-05-23,12794.731104
2014-05-26,12860.7762
2014-05-27,13066.91336
2014-05-28,13078.233588
2014-05-29,13076.95779
2014-05-30,13279.45446
2014-06-02,13442.25212
2014-06-03,13524.88367
2014-06-04,13554.47555
2014-06-05,13522.77108
2014-06-06,13472.729543
2014-06-09,13563.4464
2014-06-10,13628.82408
2014-06-11,13664.96055
2014-06-12,13517.54241
2014-06-13,13525.15686
2014-06-16,13631.142368
2014-06-17,13764.051534
2014-06-18,13595.686275
2014-06-19,13800.35037
2014-06-20,13663.359645
2014-06-23,13597.74084
2014-06-24,13579.98138
2014-06-25,13526.746589
2014-06-26,13572.80232
2014-06-27,13551.9755
2014-06-30,13642.78396
2014-07-01,13777.777028
2014-07-02,13903.353519
2014-07-03,13943.75138
2014-07-04,13963.786695
2014-07-07,13902.619258
2014-07-08,13674.779365
2014-07-09,13685.75104
2014-07-10,13623.25795
2014-07-11,13657.72315
2014-07-14,13698.223604
2014-07-15,13690.178
2014-07-16,13720.405404
2014-07-17,13698.923225
2014-07-18,13625.333346
2014-07-21,13540.55129
2014-07-22,13577.48664
2014-07-23,13526.19723
2014-07-24,13565.080875
2014-07-25,13482.488475
2014-07-28,13543.116555
2014-07-29,13564.093901
2014-07-30,13624.42842
2014-07-31,13464.29322
2014-08-01,13361.124186
2014-08-04,13368.32112
2014-08-05,13382.472488
2014-08-06,13299.33945
2014-08-07,13322.177687
2014-08-08,13233.22686
2014-08-11,13289.379948
2014-08-12,13267.177976
2014-08-13,13274.876838
2014-08-14,13301.423564
2014-08-15,13347.2328
2014-08-18,13467.93789
2014-08-19,13586.789487
2014-08-20,13702.20467
2014-08-21,13713.11325
2014-08-22,13655.551831
2014-08-25,13742.43794
2014-08-26,13741.28385
2014-08-27,13664.852655
2014-08-28,13632.114288
2014-08-29,13722.294135
2014-09-01,13735.9312
2014-09-02,13811.43546
2014-09-03,13775.93055
2014-09-04,13805.047438
2014-09-05,13769.419048
2014-09-08,13869.43155
2014-09-09,13927.241265
2014-09-10,13951.18329
2014-09-11,14012.72535
2014-09-12,14023.82058
2014-09-15,13921.826875
2014-09-16,13884.747
2014-09-17,14063.74134
2014-09-18,14186.92526
2014-09-19,14161.62762
2014-09-22,14160.24224
2014-09-23,14077.07253
2014-09-24,14078.300544
2014-09-25,14011.370131
2014-09-26,14084.88536
2014-09-29,14106.26525
2014-09-30,14070.054845
2014-10-01,13888.52364
2014-10-02,13704.16246
2014-10-03,13958.65218
2014-10-06,13827.477275
2014-10-07,13642.965162
2014-10-08,13559.91835
2014-10-09,13412.636925
2014-10-10,13262.55848
2014-10-13,13065.89162
2014-10-14,13066.39804
2014-10-15,12983.6709
2014-10-16,13019.791748
2014-10-17,13140.85924
2014-10-20,13174.50624
2014-10-21,13416.516232
2014-10-22,13322.58762
2014-10-23,13403.987
2014-10-24,13405.20135
2014-10-27,13407.296875
2014-10-28,13442.93454
2014-10-29,13583.6928
2014-10-30,13506.451805
2014-10-31,13871.580295
2014-11-03,13847.82822
2014-11-04,13785.566152
2014-11-05,13988.642892
2014-11-06,14143.297427
2014-11-07,14142.8079
2014-11-10,14226.9099
2014-11-11,14173.40485
2014-11-12,14135.363154
2014-11-13,14158.2106
2014-11-14,13997.86822
2014-11-17,14041.503152
2014-11-18,14025.13814
2014-11-19,14019.84626
2014-11-20,13917.38205
2014-11-21,14009.32806
2014-11-24,14114.53972
2014-11-25,14067.86346
2014-11-26,14092.01994
2014-11-27,14092.79805
2014-11-28,14173.51416
2014-12-01,13972.6307
2014-12-02,14195.651865
2014-12-03,14357.37728
2014-12-04,14305.529589
2014-12-05,14522.20098
2014-12-08,14656.25869
2014-12-09,14524.6685
2014-12-10,14428.34196
2014-12-11,14554.945
2014-12-12,14327.25882
2014-12-15,14335.905745
2014-12-16,14224.74928
2014-12-17,14329.43311
2014-12-18,14563.684575
2014-12-19,14641.718112
2014-12-22,14697.37329
2014-12-23,14801.059062
2014-12-24,14811.70405
2014-12-25,14779.007642
2014-12-26,14799.28
2014-12-29,14848.73343
2014-12-30,14689.4076
2014-12-31,14604.27254
2015-01-01,14576.35626
2015-01-02,14730.09391
2015-01-05,14457.53511
2015-01-06,14316.22906
2015-01-07,14338.578326
2015-01-08,14489.637405
2015-01-09,14294.91891
2015-01-12,14272.125588
2015-01-13,14292.21203
2015-01-14,14082.25329
2015-01-15,14194.0616
2015-01-16,14283.82035
2015-01-19,14454.12284
2015-01-20,14410.92905
2015-01-21,14390.335476
2015-01-22,14383.80328
2015-01-23,14381.22876
2015-01-26,14488.06392
2015-01-27,14593.732335
2015-01-28,14448.81592
2015-01-29,14455.98
2015-01-30,14435.84417
2015-02-02,14391.49752
2015-02-03,14419.925065
2015-02-04,14539.202865
2015-02-05,14390.92485
2015-02-06,14643.494008
2015-02-09,14678.58251
2015-02-10,14901.8112
2015-02-11,15037.8957
2015-02-12,15080.547825
2015-02-13,15121.546968
2015-02-16,15099.507525
2015-02-17,15152.328
2015-02-18,15096.19958
2015-02-19,15218.158275
2015-02-20,15206.245566
2015-02-23,15244.43392
2015-02-24,15073.9675
2015-02-25,15060.103355
2015-02-26,15148.264165
2015-02-27,15313.05248
2015-03-02,15485.5112
2015-03-03,15396.76528
2015-03-04,15406.79725
2015-03-05,15476.623749
2015-03-06,15538.344675
2015-03-09,15604.92135
2015-03-10,15702.86445
2015-03-11,15583.66295
2015-03-12,15778.48842
2015-03-13,15930.79488
2015-03-16,16001.515695
2015-03-17,15922.46912
2015-03-18,15696.40545
2015-03-19,16003.16131
2015-03-20,15824.376
2015-03-23,15709.88124
2015-03-24,15533.068791
2015-03-25,15457.61295
2015-03-26,15545.711615
2015-03-27,15619.70561
2015-03-30,15869.6286
2015-03-31,15708.706505
2015-04-01,15499.98729
2015-04-02,15551.057205
2015-04-03,15367.582
2015-04-06,15508.83384
2015-04-07,15596.59555
2015-04-08,15538.280625
2015-04-09,15751.99095
2015-04-10,15879.233902
2015-04-13,16007.85848
2015-04-14,15908.7859
2015-04-15,16017.72852
2015-04-16,15910.2536
2015-04-17,15886.49834
2015-04-20,16066.4276
2015-04-21,16074.44736
2015-04-22,16248.721338
2015-04-23,16207.14067
2015-04-24,16240.98518
2015-04-27,16087.94055
2015-04-28,15920.42725
2015-04-29,15754.393621
2015-04-30,15760.25151
2015-05-01,16031.315035
2015-05-04,16065.58448
2015-05-05,15807.30329
